SentimentText,Sentiment
The hummus was absolutely fabulous.,1
The burrito was overcooked and disappointing.,0
The brunch was absolutely outstanding.,1
The cocktails was absolutely delicious.,1
The chicken was disgusting and disappointing.,0
The duck confit was absolutely wonderful.,1
The wine was absolutely lovely.,1
The fish was absolutely magnificent.,1
The gyoza was absolutely great.,1
The restaurant was spotlessly clean and well-maintained.,1
The brunch was absolutely spectacular.,1
The burrito was revolting and disappointing.,0
The curry was absolutely divine.,1
The avocado toast was absolutely brilliant.,1
The gnocchi was absolutely marvelous.,1
The quesadilla was disappointing and disappointing.,0
The ramen was absolutely amazing.,1
The lobster bisque was absolutely incredible.,1
I did not enjoy the lobster at all.,0
The avocado toast was undercooked and disappointing.,0
The lasagna was appalling and disappointing.,0
The pizza was absolutely great.,1
The clam chowder was absolutely terrific.,1
The french toast was absolutely terrific.,1
The cocktails was revolting and disappointing.,0
The oysters was disappointing and disappointing.,0
The burger was absolutely splendid.,1
The lamb was poor and disappointing.,0
The pizza was absolutely fabulous.,1
The pancakes was absolutely magnificent.,1
The ramen was poor and disappointing.,0
The chicken was absolutely magnificent.,1
The clam chowder was absolutely outstanding.,1
The wings was soggy and disappointing.,0
The menu descriptions were completely misleading.,0
The tacos was absolutely incredible.,1
The oysters was overcooked and disappointing.,0
The ribs was appalling and disappointing.,0
The nachos was absolutely brilliant.,1
The wings was absolutely fantastic.,1
The beef was disgusting and disappointing.,0
The lamb was appalling and disappointing.,0
The salmon was stale and disappointing.,0
The duck confit was overpriced and disappointing.,0
The eggs benedict was absolutely phenomenal.,1
The burrito was inedible and disappointing.,0
The salad was absolutely terrific.,1
The calamari was absolutely excellent.,1
The oysters was absolutely exceptional.,1
The french toast was dry and disappointing.,0
The sushi was dreadful and disappointing.,0
The soup was absolutely outstanding.,1
The bread was absolutely great.,1
The shrimp was absolutely fabulous.,1
The brunch was unpleasant and disappointing.,0
The coffee was absolutely superb.,1
The ramen was absolutely phenomenal.,1
The pad thai was absolutely amazing.,1
The enchiladas was absolutely incredible.,1
The pancakes was absolutely lovely.,1
The dessert was overpriced and disappointing.,0
The beef was absolutely exceptional.,1
The eggs benedict was absolutely great.,1
The waffles was stale and disappointing.,0
The salmon was absolutely divine.,1
The gnocchi was disappointing and disappointing.,0
The shrimp was absolutely brilliant.,1
The clam chowder was absolutely exquisite.,1
The whole experience was frustrating and disappointing.,0
The cheesecake was overcooked and disappointing.,0
The falafel was disappointing and disappointing.,0
The tacos was stale and disappointing.,0
The eggs benedict was cold and disappointing.,0
The lobster was absolutely lovely.,1
The risotto was absolutely splendid.,1
The cheesecake was inedible and disappointing.,0
The wings was stale and disappointing.,0
The clam chowder was disgusting and disappointing.,0
The lasagna was absolutely amazing.,1
The soup was absolutely splendid.,1
The burrito was overpriced and disappointing.,0
The pasta was absolutely fabulous.,1
The sushi was absolutely wonderful.,1
The cheesecake was absolutely fantastic.,1
The quesadilla was absolutely fabulous.,1
The avocado toast was absolutely great.,1
The wings was absolutely exceptional.,1
The risotto was absolutely enjoyable.,1
I sent my food back twice and it still wasn't right.,0
The burger was disappointing and disappointing.,0
The soup was disgusting and disappointing.,0
The coffee was absolutely great.,1
The paella was soggy and disappointing.,0
The burrito was mediocre and disappointing.,0
The pad thai was absolutely lovely.,1
The calamari was soggy and disappointing.,0
The bread was disgusting and disappointing.,0
The caesar salad was absolutely perfect.,1
The happy hour deals here are unbeatable.,1
The duck confit was poor and disappointing.,0
The duck confit was absolutely marvelous.,1
The french toast was absolutely exceptional.,1
The salad was absolutely amazing.,1
The fish was absolutely lovely.,1
The tiramisu was awful and disappointing.,0
The quesadilla was absolutely phenomenal.,1
The duck confit was dreadful and disappointing.,0
The tiramisu was absolutely fantastic.,1
The gelato was absolutely great.,1
The pasta was absolutely splendid.,1
The gelato was overpriced and disappointing.,0
The calamari was overcooked and disappointing.,0
The chicken was absolutely wonderful.,1
The salad was dry and disappointing.,0
The ribs was undercooked and disappointing.,0
The wings was unpleasant and disappointing.,0
The lobster was soggy and disappointing.,0
The sushi was absolutely terrific.,1
The eggs benedict was absolutely splendid.,1
The lobster bisque was overpriced and disappointing.,0
The lasagna was absolutely enjoyable.,1
The brunch was stale and disappointing.,0
The beef was absolutely spectacular.,1
The carbonara was greasy and disappointing.,0
The outdoor seating was uncomfortable and poorly maintained.,0
The chicken was tasteless and disappointing.,0
The falafel was inedible and disappointing.,0
The pasta was absolutely excellent.,1
The lobster was absolutely marvelous.,1
The dumplings was absolutely splendid.,1
The quesadilla was inedible and disappointing.,0
The gelato was undercooked and disappointing.,0
The lamb was mediocre and disappointing.,0
The salmon was horrible and disappointing.,0
The wings was absolutely magnificent.,1
The ramen was overcooked and disappointing.,0
The crab cakes was unpleasant and disappointing.,0
The paella was absolutely magnificent.,1
The falafel was absolutely enjoyable.,1
The wine was absolutely magnificent.,1
The calamari was absolutely outstanding.,1
The lasagna was overpriced and disappointing.,0
I did not enjoy the salad at all.,0
The lamb was absolutely terrific.,1
The calamari was absolutely splendid.,1
The duck confit was dry and disappointing.,0
The avocado toast was overcooked and disappointing.,0
The duck confit was absolutely outstanding.,1
The french toast was absolutely superb.,1
The pasta was absolutely delicious.,1
The tacos was horrible and disappointing.,0
The gelato was absolutely splendid.,1
The carbonara was revolting and disappointing.,0
The waffles was absolutely perfect.,1
The eggs benedict was disgusting and disappointing.,0
The tiramisu was unpleasant and disappointing.,0
The carbonara was stale and disappointing.,0
The clam chowder was overcooked and disappointing.,0
The wine was absolutely exceptional.,1
The nachos was poor and disappointing.,0
The wine was absolutely phenomenal.,1
The pasta was mediocre and disappointing.,0
The pork belly was greasy and disappointing.,0
The atmosphere elevated the entire experience.,1
I would not recommend this place to anyone.,0
The oysters was absolutely incredible.,1
The gyoza was appalling and disappointing.,0
The bread was awful and disappointing.,0
The beef was absolutely divine.,1
The dessert was stale and disappointing.,0
The quesadilla was horrible and disappointing.,0
The eggs benedict was absolutely exceptional.,1
The brunch was absolutely magnificent.,1
The lasagna was terrible and disappointing.,0
The burger was dry and disappointing.,0
The oysters was absolutely superb.,1
The chicken was absolutely exceptional.,1
The hummus was absolutely magnificent.,1
The biryani was overcooked and disappointing.,0
The carbonara was absolutely splendid.,1
The carbonara was absolutely divine.,1
The shrimp was disappointing and disappointing.,0
The chicken was awful and disappointing.,0
The ramen was tasteless and disappointing.,0
The gelato was horrible and disappointing.,0
The soup was overcooked and disappointing.,0
The burrito was absolutely excellent.,1
The lasagna was absolutely fabulous.,1
The ribs was dry and disappointing.,0
The cocktails was terrible and disappointing.,0
The ribs was absolutely great.,1
The burger was absolutely fabulous.,1
The lobster bisque was absolutely terrific.,1
The eggs benedict was disappointing and disappointing.,0
The fish was absolutely outstanding.,1
The quesadilla was absolutely amazing.,1
The ramen was greasy and disappointing.,0
The ribs was bland and disappointing.,0
The shrimp was absolutely lovely.,1
The gnocchi was absolutely exquisite.,1
The pancakes was cold and disappointing.,0
The fish was soggy and disappointing.,0
The gyoza was awful and disappointing.,0
The gnocchi was overpriced and disappointing.,0
The biryani was absolutely incredible.,1
The bread was appalling and disappointing.,0
I found a hair in my food and no apology was given.,0
The gelato was absolutely exceptional.,1
The sushi was absolutely exceptional.,1
The avocado toast was terrible and disappointing.,0
The waffles was bland and disappointing.,0
The carbonara was absolutely spectacular.,1
The curry was absolutely outstanding.,1
The caesar salad was cold and disappointing.,0
The avocado toast was unpleasant and disappointing.,0
The enchiladas was mediocre and disappointing.,0
The risotto was absolutely magnificent.,1
The burger was dreadful and disappointing.,0
The lobster was horrible and disappointing.,0
The soup was bland and disappointing.,0
The duck confit was disappointing and disappointing.,0
The lobster was stale and disappointing.,0
The bread was absolutely fabulous.,1
The bread was terrible and disappointing.,0
The enchiladas was cold and disappointing.,0
The sushi was absolutely marvelous.,1
The eggs benedict was soggy and disappointing.,0
The pizza was disappointing and disappointing.,0
The curry was unpleasant and disappointing.,0
The hummus was overcooked and disappointing.,0
The burger was cold and disappointing.,0
The lasagna was revolting and disappointing.,0
The cocktails was cold and disappointing.,0
The lamb was absolutely fantastic.,1
The gyoza was disappointing and disappointing.,0
The pizza was awful and disappointing.,0
The steak was overcooked and disappointing.,0
The shrimp was absolutely terrific.,1
The quesadilla was absolutely terrific.,1
The gnocchi was poor and disappointing.,0
The salmon was absolutely lovely.,1
Ordered the tasting menu and was thoroughly let down.,0
The gelato was disappointing and disappointing.,0
The carbonara was rubbery and disappointing.,0
The brunch was absolutely marvelous.,1
The quesadilla was dreadful and disappointing.,0
The brunch was disgusting and disappointing.,0
The pancakes was dreadful and disappointing.,0
The wings was bland and disappointing.,0
The cheesecake was flavorless and disappointing.,0
The oysters was absolutely fantastic.,1
The shrimp was soggy and disappointing.,0
The pizza was absolutely divine.,1
The wine was absolutely incredible.,1
The calamari was absolutely exceptional.,1
The cheesecake was absolutely exquisite.,1
The coffee was overcooked and disappointing.,0
The biryani was absolutely wonderful.,1
The gelato was stale and disappointing.,0
The salmon was unpleasant and disappointing.,0
The burrito was terrible and disappointing.,0
The fish was absolutely superb.,1
The ramen was absolutely fabulous.,1
The waffles was cold and disappointing.,0
The falafel was absolutely marvelous.,1
The oysters was greasy and disappointing.,0
The waffles was absolutely spectacular.,1
The carbonara was absolutely superb.,1
The tacos was absolutely magnificent.,1
The waffles was absolutely incredible.,1
The pasta was absolutely superb.,1
The oysters was absolutely magnificent.,1
The enchiladas was absolutely lovely.,1
The waiter argued with me about my order.,0
The pancakes was absolutely wonderful.,1
The carbonara was appalling and disappointing.,0
The dessert was absolutely divine.,1
The portions have shrunk while prices keep rising.,0
The bread was flavorless and disappointing.,0
The soup was absolutely great.,1
The pizza was flavorless and disappointing.,0
The beef was undercooked and disappointing.,0
The pizza was absolutely delicious.,1
The ramen was absolutely great.,1
The curry was dry and disappointing.,0
The lamb was absolutely delicious.,1
The pancakes was absolutely enjoyable.,1
The waffles was dreadful and disappointing.,0
The wine was absolutely superb.,1
The cheesecake was unpleasant and disappointing.,0
The tacos was flavorless and disappointing.,0
The salad was absolutely superb.,1
The restaurant was understaffed and chaotic.,0
The gyoza was soggy and disappointing.,0
The sushi was absolutely lovely.,1
The cheesecake was absolutely superb.,1
The beef was absolutely amazing.,1
The pasta was overpriced and disappointing.,0
The tiramisu was absolutely excellent.,1
The gnocchi was absolutely lovely.,1
The tiramisu was disappointing and disappointing.,0
The hummus was inedible and disappointing.,0
The curry was horrible and disappointing.,0
The pasta was soggy and disappointing.,0
The pancakes was terrible and disappointing.,0
The carbonara was overcooked and disappointing.,0
The soup was absolutely exquisite.,1
I loved the soup here.,1
The quesadilla was absolutely splendid.,1
The pasta was absolutely magnificent.,1
The tacos was unpleasant and disappointing.,0
The burrito was absolutely great.,1
The calamari was absolutely superb.,1
The pizza was greasy and disappointing.,0
The french toast was overcooked and disappointing.,0
The lamb was absolutely great.,1
The dessert was poor and disappointing.,0
The clam chowder was absolutely marvelous.,1
The paella was overpriced and disappointing.,0
I loved the salmon here.,1
The crab cakes was absolutely incredible.,1
The falafel was absolutely great.,1
The wings was absolutely outstanding.,1
The dessert was absolutely fantastic.,1
We were treated like royalty the whole evening.,1
The curry was absolutely perfect.,1
The pizza was absolutely amazing.,1
The coffee was absolutely exquisite.,1
The lobster bisque was rubbery and disappointing.,0
The gnocchi was awful and disappointing.,0
The salad was horrible and disappointing.,0
They got my order wrong three times.,0
The gyoza was absolutely splendid.,1
The clam chowder was awful and disappointing.,0
The lobster bisque was absolutely fantastic.,1
The sushi was absolutely perfect.,1
The beef was rubbery and disappointing.,0
The gnocchi was absolutely divine.,1
The enchiladas was absolutely splendid.,1
The pork belly was absolutely delicious.,1
The burger was absolutely fantastic.,1
The duck confit was absolutely superb.,1
The duck confit was absolutely divine.,1
The salmon was rubbery and disappointing.,0
The calamari was greasy and disappointing.,0
The brunch was disappointing and disappointing.,0
The eggs benedict was unpleasant and disappointing.,0
The salad was soggy and disappointing.,0
The waffles was absolutely splendid.,1
The clam chowder was absolutely spectacular.,1
The cocktails was absolutely great.,1
The fish was dry and disappointing.,0
The salad was appalling and disappointing.,0
The tiramisu was undercooked and disappointing.,0
The risotto was overcooked and disappointing.,0
The gyoza was greasy and disappointing.,0
The quesadilla was overpriced and disappointing.,0
The cocktails was absolutely marvelous.,1
The quesadilla was soggy and disappointing.,0
The ramen was absolutely exceptional.,1
The fish was absolutely splendid.,1
The enchiladas was absolutely brilliant.,1
The soup was absolutely phenomenal.,1
The eggs benedict was dry and disappointing.,0
The tiramisu was bland and disappointing.,0
The french toast was disappointing and disappointing.,0
The steak was absolutely wonderful.,1
The gyoza was dreadful and disappointing.,0
The biryani was absolutely enjoyable.,1
The soup was absolutely terrific.,1
The wings was overpriced and disappointing.,0
The duck confit was absolutely fabulous.,1
The gyoza was revolting and disappointing.,0
Nothing was as described on the menu.,0
The duck confit was terrible and disappointing.,0
The hummus was tasteless and disappointing.,0
The crab cakes was absolutely magnificent.,1
The steak was absolutely splendid.,1
The enchiladas was absolutely phenomenal.,1
The duck confit was absolutely magnificent.,1
I did not enjoy the pasta at all.,0
The brunch was dreadful and disappointing.,0
The lobster bisque was absolutely divine.,1
The eggs benedict was absolutely wonderful.,1
The gelato was appalling and disappointing.,0
The enchiladas was absolutely terrific.,1
The eggs benedict was absolutely superb.,1
The ramen was dry and disappointing.,0
The shrimp was absolutely exquisite.,1
The desserts were all sold out by 7pm.,0
The dessert was mediocre and disappointing.,0
The tiramisu was revolting and disappointing.,0
The duck confit was bland and disappointing.,0
The curry was stale and disappointing.,0
The dessert was overcooked and disappointing.,0
The tiramisu was terrible and disappointing.,0
The soup was soggy and disappointing.,0
The nachos was absolutely amazing.,1
The cocktails was inedible and disappointing.,0
The burrito was absolutely spectacular.,1
The pizza was absolutely brilliant.,1
The gelato was unpleasant and disappointing.,0
The quesadilla was absolutely exquisite.,1
The dessert was inedible and disappointing.,0
The curry was greasy and disappointing.,0
The bread was disappointing and disappointing.,0
The ribs was cold and disappointing.,0
The tacos was appalling and disappointing.,0
The check arrived with errors and we were overcharged.,0
The quesadilla was dry and disappointing.,0
The brunch was absolutely fabulous.,1
The lobster was absolutely magnificent.,1
The burger was absolutely spectacular.,1
The pasta was revolting and disappointing.,0
The risotto was revolting and disappointing.,0
The pizza was dry and disappointing.,0
The cocktails was flavorless and disappointing.,0
The cocktails was rubbery and disappointing.,0
The tiramisu was absolutely wonderful.,1
The paella was absolutely terrific.,1
The curry was inedible and disappointing.,0
The enchiladas was absolutely magnificent.,1
The chicken was absolutely divine.,1
The gelato was absolutely lovely.,1
The dumplings was disgusting and disappointing.,0
The cheesecake was absolutely fabulous.,1
The pizza was absolutely fantastic.,1
The clam chowder was absolutely magnificent.,1
The quesadilla was awful and disappointing.,0
The paella was absolutely enjoyable.,1
The nachos was flavorless and disappointing.,0
The hummus was absolutely superb.,1
The dessert was absolutely lovely.,1
The ribs was absolutely incredible.,1
The oysters was mediocre and disappointing.,0
The pork belly was absolutely incredible.,1
The ribs was absolutely splendid.,1
The pork belly was revolting and disappointing.,0
The burrito was dreadful and disappointing.,0
The french toast was terrible and disappointing.,0
The french toast was poor and disappointing.,0
I did not enjoy the sushi at all.,0
The coffee was terrible and disappointing.,0
The waffles was rubbery and disappointing.,0
The ramen was unpleasant and disappointing.,0
The salad was bland and disappointing.,0
The burrito was absolutely exceptional.,1
The avocado toast was absolutely enjoyable.,1
The waffles was terrible and disappointing.,0
The enchiladas was overcooked and disappointing.,0
The dessert was absolutely magnificent.,1
The pork belly was absolutely lovely.,1
The shrimp was absolutely phenomenal.,1
The french toast was absolutely divine.,1
The lobster bisque was absolutely spectacular.,1
The falafel was absolutely exceptional.,1
The french toast was tasteless and disappointing.,0
The caesar salad was dreadful and disappointing.,0
The risotto was mediocre and disappointing.,0
The falafel was tasteless and disappointing.,0
The steak was absolutely fabulous.,1
The gelato was overcooked and disappointing.,0
The pasta was absolutely divine.,1
The lasagna was poor and disappointing.,0
The risotto was absolutely exquisite.,1
The gyoza was undercooked and disappointing.,0
The chicken was absolutely perfect.,1
The ramen was absolutely enjoyable.,1
The avocado toast was flavorless and disappointing.,0
The paella was disappointing and disappointing.,0
The fish was cold and disappointing.,0
The salmon was cold and disappointing.,0
The fish was unpleasant and disappointing.,0
The chicken was overcooked and disappointing.,0
The calamari was absolutely magnificent.,1
The salmon was overcooked and disappointing.,0
The hummus was appalling and disappointing.,0
The shrimp was appalling and disappointing.,0
The tacos was absolutely amazing.,1
The steak was absolutely spectacular.,1
They remembered my name from my last visit.,1
The beef was horrible and disappointing.,0
The beef was absolutely brilliant.,1
The steak was terrible and disappointing.,0
The lobster was rubbery and disappointing.,0
The tiramisu was absolutely superb.,1
The duck confit was unpleasant and disappointing.,0
The gnocchi was absolutely outstanding.,1
The enchiladas was appalling and disappointing.,0
The burrito was absolutely phenomenal.,1
The chicken was absolutely marvelous.,1
The calamari was revolting and disappointing.,0
The cocktails was disgusting and disappointing.,0
The wings was absolutely spectacular.,1
The pizza was absolutely exquisite.,1
The sushi was flavorless and disappointing.,0
The burger was bland and disappointing.,0
The fish was absolutely wonderful.,1
The ramen was absolutely marvelous.,1
The beef was absolutely exquisite.,1
The gyoza was disgusting and disappointing.,0
The cocktails was absolutely divine.,1
The dumplings was absolutely fantastic.,1
The steak was absolutely outstanding.,1
The waffles was disgusting and disappointing.,0
The oysters was disgusting and disappointing.,0
The duck confit was absolutely splendid.,1
The shrimp was absolutely perfect.,1
The soup was absolutely marvelous.,1
The paella was tasteless and disappointing.,0
The gnocchi was soggy and disappointing.,0
The quesadilla was unpleasant and disappointing.,0
The pizza was soggy and disappointing.,0
The biryani was appalling and disappointing.,0
The gelato was cold and disappointing.,0
The tacos was absolutely lovely.,1
The hummus was greasy and disappointing.,0
The brunch was absolutely incredible.,1
The lamb was absolutely magnificent.,1
The cocktails was absolutely exceptional.,1
The tacos was greasy and disappointing.,0
The carbonara was terrible and disappointing.,0
The eggs benedict was mediocre and disappointing.,0
The risotto was absolutely great.,1
The chicken was stale and disappointing.,0
The gelato was greasy and disappointing.,0
The waffles was mediocre and disappointing.,0
The sushi was absolutely outstanding.,1
The quesadilla was absolutely spectacular.,1
The hummus was flavorless and disappointing.,0
The pasta was absolutely fantastic.,1
The wine was flavorless and disappointing.,0
The gnocchi was absolutely magnificent.,1
The burger was poor and disappointing.,0
I did not enjoy the chicken at all.,0
The curry was mediocre and disappointing.,0
The calamari was absolutely fabulous.,1
The lobster was cold and disappointing.,0
The tiramisu was absolutely great.,1
The dumplings was overcooked and disappointing.,0
The hummus was absolutely great.,1
The tiramisu was absolutely lovely.,1
The curry was absolutely marvelous.,1
The crab cakes was absolutely fabulous.,1
The bread was absolutely exquisite.,1
Every dish was a culinary delight.,1
I loved the risotto here.,1
The duck confit was flavorless and disappointing.,0
The ribs was absolutely wonderful.,1
The avocado toast was revolting and disappointing.,0
The burrito was flavorless and disappointing.,0
The lobster was absolutely amazing.,1
The falafel was rubbery and disappointing.,0
The oysters was absolutely delicious.,1
I left hungry after spending a lot of money.,0
The crab cakes was absolutely brilliant.,1
The dessert was appalling and disappointing.,0
The pad thai was absolutely wonderful.,1
The coffee was absolutely incredible.,1
The cocktails was greasy and disappointing.,0
The clam chowder was greasy and disappointing.,0
The pancakes was disappointing and disappointing.,0
The pasta was poor and disappointing.,0
The salmon was absolutely incredible.,1
The gnocchi was absolutely great.,1
The fish was absolutely spectacular.,1
The dessert was absolutely exquisite.,1
The hummus was absolutely terrific.,1
The curry was overcooked and disappointing.,0
The duck confit was horrible and disappointing.,0
The caesar salad was rubbery and disappointing.,0
The tacos was absolutely perfect.,1
The wine was corked and they charged us anyway.,0
The soup was absolutely brilliant.,1
The fish was absolutely great.,1
The steak was disgusting and disappointing.,0
The burger was absolutely wonderful.,1
The beef was overpriced and disappointing.,0
The risotto was awful and disappointing.,0
The carbonara was absolutely perfect.,1
The calamari was poor and disappointing.,0
The tacos was absolutely exceptional.,1
The paella was absolutely brilliant.,1
The tiramisu was absolutely marvelous.,1
The farm-to-table concept really shines in every dish.,1
The avocado toast was absolutely exquisite.,1
The pad thai was stale and disappointing.,0
The lobster bisque was horrible and disappointing.,0
The pancakes was awful and disappointing.,0
The clam chowder was rubbery and disappointing.,0
The carbonara was absolutely phenomenal.,1
The fish was revolting and disappointing.,0
The lobster was absolutely terrific.,1
The cocktails was mediocre and disappointing.,0
The ramen was disgusting and disappointing.,0
The burrito was horrible and disappointing.,0
The fish was flavorless and disappointing.,0
The steak was horrible and disappointing.,0
The wine was disgusting and disappointing.,0
The pizza was absolutely marvelous.,1
The hummus was overpriced and disappointing.,0
The pad thai was absolutely fabulous.,1
The eggs benedict was terrible and disappointing.,0
The tiramisu was absolutely exceptional.,1
The hummus was absolutely lovely.,1
The carbonara was absolutely excellent.,1
The tiramisu was absolutely perfect.,1
The duck confit was awful and disappointing.,0
The coffee was appalling and disappointing.,0
The calamari was absolutely brilliant.,1
The burrito was absolutely magnificent.,1
The coffee was absolutely outstanding.,1
The pork belly was disgusting and disappointing.,0
The fish was absolutely exquisite.,1
The salad was absolutely divine.,1
The waffles was revolting and disappointing.,0
The steak was overpriced and disappointing.,0
The gnocchi was stale and disappointing.,0
The caesar salad was dry and disappointing.,0
The quesadilla was absolutely delicious.,1
The clam chowder was undercooked and disappointing.,0
The gelato was absolutely incredible.,1
The steak was absolutely amazing.,1
The burrito was awful and disappointing.,0
The risotto was absolutely lovely.,1
The fish was poor and disappointing.,0
The nachos was absolutely lovely.,1
The coffee was bland and disappointing.,0
The nachos was stale and disappointing.,0
The waffles was tasteless and disappointing.,0
The gyoza was absolutely outstanding.,1
The avocado toast was absolutely magnificent.,1
The lobster was disappointing and disappointing.,0
The lasagna was absolutely spectacular.,1
The gnocchi was absolutely wonderful.,1
The cocktails was absolutely phenomenal.,1
The eggs benedict was absolutely perfect.,1
The lobster was absolutely wonderful.,1
The waffles was poor and disappointing.,0
The burger was mediocre and disappointing.,0
The duck confit was stale and disappointing.,0
The pizza was rubbery and disappointing.,0
The bread was poor and disappointing.,0
The salad was absolutely exceptional.,1
The paella was bland and disappointing.,0
The calamari was dreadful and disappointing.,0
The burrito was absolutely enjoyable.,1
The calamari was dry and disappointing.,0
The soup was poor and disappointing.,0
The cheesecake was absolutely exceptional.,1
The cocktails was absolutely perfect.,1
The nachos was overcooked and disappointing.,0
The dessert was awful and disappointing.,0
The salad was stale and disappointing.,0
The dumplings was absolutely superb.,1
The risotto was bland and disappointing.,0
The gelato was terrible and disappointing.,0
The salmon was absolutely fantastic.,1
The sushi was absolutely delicious.,1
The hummus was absolutely amazing.,1
The gnocchi was absolutely splendid.,1
The avocado toast was absolutely amazing.,1
The oysters was cold and disappointing.,0
The coffee was absolutely fabulous.,1
The hummus was revolting and disappointing.,0
The tiramisu was dreadful and disappointing.,0
The duck confit was absolutely delicious.,1
The calamari was cold and disappointing.,0
The lobster bisque was stale and disappointing.,0
The hummus was cold and disappointing.,0
The shrimp was tasteless and disappointing.,0
The pancakes was poor and disappointing.,0
The tacos was absolutely exquisite.,1
The calamari was absolutely phenomenal.,1
The ribs was terrible and disappointing.,0
The cheesecake was absolutely delicious.,1
The french toast was dreadful and disappointing.,0
The lobster was bland and disappointing.,0
The paella was absolutely fantastic.,1
The biryani was absolutely great.,1
The lamb was absolutely wonderful.,1
The burger was flavorless and disappointing.,0
The wings was absolutely exquisite.,1
The sushi was absolutely splendid.,1
The duck confit was inedible and disappointing.,0
The french toast was absolutely fabulous.,1
The calamari was unpleasant and disappointing.,0
The clam chowder was absolutely wonderful.,1
The quesadilla was absolutely great.,1
The pasta was stale and disappointing.,0
The oysters was absolutely enjoyable.,1
The ribs was absolutely fabulous.,1
The waffles was overpriced and disappointing.,0
The french toast was inedible and disappointing.,0
The ramen was absolutely exquisite.,1
The tacos was mediocre and disappointing.,0
The paella was appalling and disappointing.,0
The lobster bisque was absolutely splendid.,1
The salad was absolutely delicious.,1
The wine was unpleasant and disappointing.,0
The ribs was absolutely superb.,1
The curry was absolutely amazing.,1
The pad thai was absolutely excellent.,1
The falafel was absolutely amazing.,1
The nachos was unpleasant and disappointing.,0
The tiramisu was overcooked and disappointing.,0
The quesadilla was absolutely brilliant.,1
The biryani was disgusting and disappointing.,0
The burger was rubbery and disappointing.,0
The beef was inedible and disappointing.,0
The gyoza was dry and disappointing.,0
The dumplings was absolutely enjoyable.,1
The hummus was absolutely enjoyable.,1
The cheesecake was dreadful and disappointing.,0
The dumplings was absolutely divine.,1
The dumplings was absolutely exquisite.,1
The falafel was overpriced and disappointing.,0
The pizza was absolutely terrific.,1
The sushi was overpriced and disappointing.,0
The ribs was absolutely delicious.,1
The brunch was absolutely wonderful.,1
The sushi was tasteless and disappointing.,0
The cocktails was overpriced and disappointing.,0
The steak was unpleasant and disappointing.,0
The lobster was dry and disappointing.,0
The calamari was absolutely divine.,1
The bread was soggy and disappointing.,0
The ramen was absolutely magnificent.,1
The pasta was bland and disappointing.,0
The crab cakes was absolutely fantastic.,1
The brunch was absolutely phenomenal.,1
The shrimp was absolutely superb.,1
The steak was absolutely perfect.,1
The duck confit was overcooked and disappointing.,0
The lamb was terrible and disappointing.,0
The biryani was poor and disappointing.,0
The lobster was revolting and disappointing.,0
I loved the pasta here.,1
The lasagna was absolutely excellent.,1
The quesadilla was absolutely magnificent.,1
The beef was cold and disappointing.,0
The gelato was absolutely delicious.,1
The shrimp was absolutely splendid.,1
The cheesecake was overpriced and disappointing.,0
The brunch was absolutely perfect.,1
The dumplings was overpriced and disappointing.,0
The falafel was absolutely spectacular.,1
